City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
221,Mercedes,AR,2022-08-10 16:38:36,-34.6515,-59.4307,59.95,47,94,11.43,overcast clouds
222,Pinotepa Nacional,MX,2022-08-10 16:41:01,16.3167,-98.0167,88.48,53,89,4.88,overcast clouds
223,Chipinge,ZW,2022-08-10 16:41:01,-20.1883,32.6236,61.21,67,11,5.12,few clouds
224,Awjilah,LY,2022-08-10 16:41:02,29.1081,21.2869,94.32,22,0,12.57,clear sky
225,Bambous Virieux,MU,2022-08-10 16:41:02,-20.3428,57.7575,70.21,60,75,18.41,broken clouds
226,Louga,RU,2022-08-10 16:41:03,58.7372,29.8453,65.14,59,14,1.63,few clouds
227,Hirara,JP,2022-08-10 16:41:03,24.8,125.2833,84.7,72,1,8.5,clear sky
228,Skelleftea,SE,2022-08-10 16:41:04,64.7507,20.9528,73.0,73,100,11.5,overcast clouds
229,Chadan,RU,2022-08-10 16:41:04,51.2833,91.5833,60.58,66,65,3.49,broken clouds
230,Provideniya,RU,2022-08-10 16:41:05,64.3833,-173.3,49.8,90,99,6.08,overcast clouds
231,Pershotravneve,UA,2022-08-10 16:41:06,51.3929,28.8684,65.88,57,83,5.99,broken clouds
232,Nemuro,JP,2022-08-10 16:41:06,43.3236,145.575,66.06,98,98,13.04,overcast clouds
233,Susanville,US,2022-08-10 16:41:07,40.4163,-120.653,75.9,31,0,9.22,clear sky
234,Razdolnoye,RU,2022-08-10 16:41:07,43.55,131.9167,64.81,93,99,3.58,light rain
235,Balabac,PH,2022-08-10 16:41:08,7.9868,117.0645,80.96,77,96,3.29,overcast clouds
236,Shimanovsk,RU,2022-08-10 16:41:08,52.0,127.7,51.44,96,69,3.87,broken clouds
237,Pozo Colorado,PY,2022-08-10 16:41:08,-23.4923,-58.7972,68.43,41,33,5.48,scattered clouds
238,Progreso,MX,2022-08-10 16:41:09,21.2833,-89.6667,87.12,59,17,5.86,few clouds
239,Tomigusuku,JP,2022-08-10 16:41:09,26.185,127.675,83.97,80,40,4.61,haze
240,Paamiut,GL,2022-08-10 16:41:10,61.994,-49.6678,42.98,89,89,15.46,overcast clouds
241,Klaksvik,FO,2022-08-10 16:41:11,62.2266,-6.589,54.52,83,99,26.96,overcast clouds
242,Pangnirtung,CA,2022-08-10 16:41:11,66.1451,-65.7125,46.9,73,62,4.29,broken clouds
243,Rocha,UY,2022-08-10 16:41:11,-34.4833,-54.3333,57.56,56,1,7.16,clear sky
244,Szczecin,PL,2022-08-10 16:41:12,53.4289,14.553,78.3,43,33,10.0,scattered clouds
245,Kenai,US,2022-08-10 16:40:55,60.5544,-151.2583,55.15,93,0,0.0,clear sky
246,Karasburg,NA,2022-08-10 16:41:12,-28.0167,18.75,65.95,20,64,7.96,broken clouds
247,Beloha,MG,2022-08-10 16:41:13,-25.1667,45.05,71.94,48,47,12.28,scattered clouds
248,Ossora,RU,2022-08-10 16:41:13,59.2353,163.0719,54.81,94,100,14.74,light rain
249,Peterborough,GB,2022-08-10 16:40:44,52.5736,-0.2478,87.57,30,22,5.75,few clouds
250,Gidole,ET,2022-08-10 16:41:14,5.65,37.3667,61.54,56,100,3.06,overcast clouds
251,Vaitape,PF,2022-08-10 16:41:14,-16.5167,-151.75,75.45,75,1,4.68,light rain
252,Tolstoy-Yurt,RU,2022-08-10 16:41:15,43.4444,45.7722,82.72,42,0,20.13,clear sky
253,Bowen,AU,2022-08-10 16:41:16,-20.0167,148.2333,67.15,66,63,14.32,broken clouds
254,Garowe,SO,2022-08-10 16:41:16,8.4054,48.4845,84.43,43,99,21.99,overcast clouds
255,Turukhansk,RU,2022-08-10 16:41:17,65.8167,87.9833,46.81,76,17,8.34,few clouds
256,Yuli,NG,2022-08-10 16:41:17,9.6989,10.2744,81.34,78,93,5.7,light rain
257,Erzin,TR,2022-08-10 16:41:18,36.9559,36.2,77.54,82,73,7.63,broken clouds
258,Awbari,LY,2022-08-10 16:41:18,26.5921,12.7805,98.56,13,0,12.88,clear sky
259,Canandaigua,US,2022-08-10 16:41:19,42.8742,-77.288,77.47,84,75,1.81,broken clouds
260,Port Arthur,CN,2022-08-10 16:41:19,38.8,121.2667,70.02,66,14,6.15,few clouds
